Jaccard
Opening and cleaning files...
Getting k-grams...
Getting minHashes...
Calculating empirical...
Calculating theoretical...
['hamlet_chapter1', 'hamlet_chapter2', 'hamlet_chapter3', 'hamlet_chapter4', 'hamlet_chapter5', 'kingLear_chapter1', 'kingLear_chapter2', 'kingLear_chapter3', 'kingLear_chapter4', 'kingLear_chapter5', 'othello_chapter1', 'othello_chapter2', 'othello_chapter3', 'othello_chapter4', 'othello_chapter5', 'romeoJuliet_chapter1', 'romeoJuliet_chapter2', 'romeoJuliet_chapter3', 'romeoJuliet_chapter4', 'romeoJuliet_chapter5', 'romeoJuliet_prologue', 'ulysses_chapter1', 'ulysses_chapter2', 'ulysses_chapter3']
Comparison: empirical | theoretical | sanity-check
hamlet_chapter3 vs othello_chapter4:    0.109375 | 0.10607494977949156 | 0.8709677419354839
hamlet_chapter3 vs othello_chapter5:    0.0859375 | 0.09054953693467954 | 0.8709677419354839
hamlet_chapter3 vs romeoJuliet_chapter1:        0.1015625 | 0.09682442812348745 | 0.967741935483871
hamlet_chapter3 vs romeoJuliet_chapter2:        0.1171875 | 0.09481705285139848 | 0.8709677419354839
hamlet_chapter3 vs romeoJuliet_chapter3:        0.1171875 | 0.10099420049710024 | 0.8709677419354839
hamlet_chapter3 vs romeoJuliet_chapter4:        0.07421875 | 0.08231738815993388 | 0.967741935483871
hamlet_chapter3 vs romeoJuliet_chapter5:        0.08203125 | 0.0783061332260417 | 0.9032258064516129
hamlet_chapter3 vs romeoJuliet_prologue:        0.00390625 | 0.006075123238214261 | 0.7741935483870968
hamlet_chapter3 vs ulysses_chapter1:    0.06640625 | 0.079385047113326 | 0.8333333333333334
hamlet_chapter3 vs ulysses_chapter2:    0.0546875 | 0.04234101643258322 | 0.8378378378378378
hamlet_chapter3 vs ulysses_chapter3:    0.0546875 | 0.059433368518601114 | 0.8378378378378378
hamlet_chapter4 vs hamlet_chapter4:     1.0 | 1.0 | 1.0
hamlet_chapter4 vs hamlet_chapter5:     0.078125 | 0.11594090403373955 | 0.8823529411764706
